LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
2320060101,2320026702,2320026701,1,107,000,-,중구로,0,0,0,30,0,0,0,0,13.622344944811,20250512,,LINK0001,
2320553700,1680059701,1680215200,2,101,000,400,수도권제2순환고속도로,0,0,0,100,5,0,0,0,326.976859415717,20250512,,LINK0003,
2320136505,2320110101,2320110104,1,106,000,356,양곡로,0,0,0,40,0,0,0,0,10.964034543884,20250512,,LINK0001,
2320133601,2320008602,2320008601,1,107,000,-,용강로,0,0,0,50,0,0,0,0,13.340362864691,20250512,,LINK0001,
2320050800,2320019402,2320462700,2,107,000,-,돌문로,0,0,0,60,0,0,0,0,59.204913654226,20250512,,LINK0003,
2320569702,2320200502,2320200505,1,107,000,-,태리로,0,0,0,30,0,0,0,0,8.076403338382,20250512,,LINK0001,
2320228500,2320085604,2320083501,3,107,000,-,김포한강1로,0,0,0,50,0,0,0,0,165.486570273703,20250512,,LINK0003,
2320298807,2320210200,2320209200,2,101,000,400,수도권제2순환고속도로,0,0,0,100,5,0,0,0,827.596292155648,20250512,,LINK1007,2320298800
2320528701,2320185801,2320185804,3,107,000,-,황금산단로,0,0,0,60,0,0,0,0,12.473609689630,20250512,,LINK0001,
2320044502,2320262000,2320036202,1,107,000,-,월하로,0,0,0,60,0,0,0,0,76.486710371519,20250512,,LINK1007,2320044500
2320067913,2320316700,2320272900,1,107,000,-,이화북로,0,0,0,10,0,0,0,0,87.339140318963,20250512,,LINK1007,2320067901
1690003719,1690190700,1690100100,2,105,000,84,중앙로,0,0,0,50,0,0,0,0,103.761142177071,20250512,,LINK1007,1690003706
2320045505,2320498800,2320517500,2,107,000,-,하성로,0,0,0,50,0,0,0,0,356.397682679515,20250512,,LINK1007,2320045500
2320504100,2320181603,2320007114,2,107,000,-,율마로,0,0,0,60,0,0,0,0,157.364564761677,20250512,,LINK0003,
2320513500,2320193002,2320000801,1,101,000,100,수도권제1순환고속도로,0,0,1,50,5,0,0,0,424.627104554333,20250512,,LINK0003,
2320506601,2320183404,2320183403,1,107,000,-,양곡로449번길,0,0,0,60,0,0,0,0,12.000029953446,20250512,,LINK0001,
2320261701,2320094603,2320094602,2,105,000,78,김포한강11로,0,0,0,30,0,0,0,0,11.999851966444,20250512,,LINK0001,
2320249700,2320092101,2320004508,2,103,000,48,김포대로,0,0,0,40,0,0,0,0,245.239527562333,20250512,,LINK0003,
2320241900,2320089201,2320088902,1,107,000,-,김포한강11로140번길,0,0,0,10,0,0,0,0,37.101862112736,20250512,,LINK0003,
